ListenID;Partei-kurz;Partei-lang;Spektrum
1;SP;SP - Sozialdemokratische Partei;-1
2;SVP;Schweizerische Volkspartei - SVP;1
3;FDP;FDP.Die Liberalen;1
4;Grüne;Grüne;-1
5;glp;glp - Grünliberale Partei;0
6;AL;AL - Alternative Liste;-1
7;CVP;CVP - Christlichdemokratische Volkspartei;1
8;DU;DU - Der Unabhängige;
9;EDU;Eidgenössisch-Demokratische Union (EDU);1
10;Vernunft;Vernunftliste;
11;PdA;Partei der Arbeit (PdA);-1
12;EVP/BDP;EVP/BDP, Evangelische Volkspartei und Bürgerlich-Demokratische Partei;1
